id,timestamp,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
60,2026-05-20 15:55:11.357,0,0,EB,8,0D,0A,0D,0,0,0,0,5A,0,0,0,1
61,2026-05-20 15:55:11.566,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0,5A,0
62,2026-05-20 15:55:11.774,0,0,1,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0
63,2026-05-20 15:55:11.983,0,59,0,0,0,1,3,0,0,0,0,EE,8,0D,0A,0D
64,2026-05-20 15:55:11.993,0,0,0,0,59,0,0,0,1,3,0,0,0,0,EE,8
65,2026-05-20 15:55:12.201,0D,0A,0D,0,0,0,0,59,0,0,0,1,3,0,0,0
66,2026-05-20 15:55:12.410,0,EB,8,0D,0A,0D,0,0,0,0,59,0,0,0,1,3
67,2026-05-20 15:55:12.617,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0,59,0,0
68,2026-05-20 15:55:12.827,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0
69,2026-05-20 15:55:13.035,59,0,0,0,1,3,0,0,0,0,EE,8,0D,0A,0D,0
70,2026-05-20 15:55:13.045,0,0,0,59,0,0,0,1,3,0,0,0,0,EE,8,0D
71,2026-05-20 15:55:13.253,0A,0D,0,0,0,0,5A,0,0,0,1,3,0,0,0,0
72,2026-05-20 15:55:13.461,EB,8,0D,0A,0D,0,0,0,0,5A,0,0,0,1,3,0
73,2026-05-20 15:55:13.670,0,0,0,EE,8,0D,0A,0D,0,0,0,0,59,0,0,0
74,2026-05-20 15:55:13.879,1,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0,59
75,2026-05-20 15:55:14.088,0,0,0,1,3,0,0,0,0,EE,8,0D,0A,0D,0,0
76,2026-05-20 15:55:14.100,0,0,59,0,0,0,1,3,0,0,0,0,EE,8,0D,0A
77,2026-05-20 15:55:14.305,0D,0,0,0,0,5A,0,0,0,1,3,0,0,0,0,EB
78,2026-05-20 15:55:14.514,8,0D,0A,0D,0,0,0,0,5A,0,0,0,1,3,0,0
79,2026-05-20 15:55:14.724,0,0,EE,8,0D,0A,0D,0,0,0,0,5A,0,0,0,1
80,2026-05-20 15:55:14.931,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0,5A,0
81,2026-05-20 15:55:15.140,0,0,1,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0
82,2026-05-20 15:55:15.348,0,5A,0,0,0,1,3,0,0,0,0,EE,8,0D,0A,0D
83,2026-05-20 15:55:15.360,0,0,0,0,5A,0,0,0,1,3,0,0,0,0,EB,8
84,2026-05-20 15:55:15.565,0D,0A,0D,0,0,0,0,5A,0,0,0,1,3,0,0,0
85,2026-05-20 15:55:15.775,0,EB,8,0D,0A,0D,0,0,0,0,59,0,0,0,1,3
86,2026-05-20 15:55:15.983,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0,5A,0,0
87,2026-05-20 15:55:16.194,0,1,3,0,0,0,0,F0,8,0D,0A,0D,0,0,0,0
88,2026-05-20 15:55:16.401,5A,0,0,0,1,3,0,0,0,0,EE,8,0D,0A,0D,0
89,2026-05-20 15:55:16.416,0,0,0,5A,0,0,0,1,3,0,0,0,0,EE,8,0D
90,2026-05-20 15:55:16.618,0A,0D,0,0,0,0,5A,0,0,0,1,3,0,0,0,0
91,2026-05-20 15:55:16.827,EB,8,0D,0A,0D,0,0,0,0,5A,0,0,0,1,3,0
92,2026-05-20 15:55:17.037,0,0,0,EE,8,0D,0A,0D,0,0,0,0,5A,0,0,0
93,2026-05-20 15:55:17.245,1,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0,5A
94,2026-05-20 15:55:17.453,0,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0
95,2026-05-20 15:55:17.464,0,0,5A,0,0,0,1,3,0,0,0,0,EE,8,0D,0A
96,2026-05-20 15:55:17.671,0D,0,0,0,0,5A,0,0,0,1,3,0,0,0,0,EB
97,2026-05-20 15:55:17.879,8,0D,0A,0D,0,0,0,0,5A,0,0,0,1,3,0,0
98,2026-05-20 15:55:18.087,0,0,EE,8,0D,0A,0D,0,0,0,0,5A,0,0,0,1
99,2026-05-20 15:55:18.297,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0,5A,0
100,2026-05-20 16:17:06.508,0D,0,0,0,0,59,0,0,0,1,3,0,0,0,0,EE
101,2026-05-20 16:17:06.733,8,0D,0A,0D,0,0,0,0,59,0,0,0,1,3,0,0
102,2026-05-20 16:17:06.933,0,0,EB,8,0D,0A,0D,0,0,0,0,58,0,0,0,1
103,2026-05-20 16:17:07.134,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0,0,58,0
104,2026-05-20 16:17:07.345,0,0,1,3,0,0,0,0,EE,8,0D,0A,0D,0,0,0
105,2026-05-20 16:17:07.552,0,58,0,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D
106,2026-05-20 16:17:07.572,0,0,0,0,59,0,0,0,1,3,0,0,0,0,EB,8
107,2026-05-20 16:17:07.796,0D,0A,0D,0,0,0,0,58,0,0,0,1,3,0,0,0
108,2026-05-20 16:17:07.979,0,EE,8,0D,0A,0D,0,0,0,0,59,0,0,0,1,3
109,2026-05-20 16:17:08.206,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0,59,0,0
110,2026-05-20 16:17:08.450,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0
111,2026-05-20 16:17:08.625,59,0,0,0,1,3,0,0,0,0,EE,8,0D,0A,0D,0
112,2026-05-20 16:17:08.643,0,0,0,59,0,0,0,1,3,0,0,0,0,EB,8,0D
